,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude,location,language,profileImageURL
464,"RT @kookceptional: [trans]
Q: What fashion items do you own the most?
JM: Blue denim jackets, hoodies and hooded clothes, and long T-shirts…",FALSE,0,NA,2018-04-08 5:36:40,FALSE,NA,982854720418078721,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",93fiIms,3665,TRUE,FALSE,NA,NA,#⃞������������ + ������,en,http://pbs.twimg.com/profile_images/982769524259799040/y80c584M_normal.jpg
465,i should sleep. but. i just want to talk about my D&amp;D character now.,FALSE,4,NA,2018-04-08 5:33:11,FALSE,NA,982853844823572480,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",luckygandor,0,FALSE,FALSE,NA,NA,crystal tokyo,en,http://pbs.twimg.com/profile_images/972500100294627330/6moQXE13_normal.jpg
466,"RT @kookceptional: [trans]
Q: What fashion items do you own the most?
JM: Blue denim jackets, hoodies and hooded clothes, and long T-shirts…",FALSE,0,NA,2018-04-08 5:30:24,FALSE,NA,982853141505884167,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",_ftrishh,3665,TRUE,FALSE,NA,NA,,en,http://pbs.twimg.com/profile_images/981540323053600768/sqvXsSxS_normal.jpg
467,"RT @kookceptional: [trans]
Q: What fashion items do you own the most?
JM: Blue denim jackets, hoodies and hooded clothes, and long T-shirts…",FALSE,0,NA,2018-04-08 5:30:16,FALSE,NA,982853111122284544,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",MOCHISMINE,3665,TRUE,FALSE,NA,NA,외랑둥이 �� ph-pearl,en,http://pbs.twimg.com/profile_images/980505104456368129/Pvgt_7bb_normal.jpg
468,Do these people sleep? They're nearly the same rank as my JP bandori account lol. https://t.co/wlq5by1bn3,FALSE,8,NA,2018-04-08 5:23:58,FALSE,NA,982851522655481857,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",SpiritRubi,0,FALSE,FALSE,NA,NA,"Yokohama, Japan",en,http://pbs.twimg.com/profile_images/983323335558746113/Bfxk_WbQ_normal.jpg
469,This hangover better let me sleep ok the plans tho!!!!!,FALSE,0,NA,2018-04-08 5:23:26,FALSE,NA,982851388714582016,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",SubcultureGal,0,FALSE,FALSE,NA,NA,LA����,en,http://pbs.twimg.com/profile_images/984082412568166400/1GSXjtH7_normal.jpg
470,"RT @kookceptional: [trans]
Q: What fashion items do you own the most?
JM: Blue denim jackets, hoodies and hooded clothes, and long T-shirts…",FALSE,0,NA,2018-04-08 5:20:49,FALSE,NA,982850731328749569,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",paek6699,3665,TRUE,FALSE,NA,NA,,th,http://pbs.twimg.com/profile_images/980126992342269952/Qoed7Ju8_normal.jpg
471,"RT @kookceptional: [trans]
Q: What fashion items do you own the most?
JM: Blue denim jackets, hoodies and hooded clothes, and long T-shirts…",FALSE,0,NA,2018-04-08 5:17:02,FALSE,NA,982849780366757888,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",aaamixs,3665,TRUE,FALSE,NA,NA,,th,http://pbs.twimg.com/profile_images/979235598161526786/nevkIZh-_normal.jpg
472,im tryna sleep but jikook is breathing right now https://t.co/mZSdKWcogb,FALSE,1,NA,2018-04-08 5:16:49,FALSE,NA,982849724586823680,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",minlovemail,0,FALSE,FALSE,NA,NA,lost in tokyo,en,http://pbs.twimg.com/profile_images/984018814101872641/C8kMT-Y8_normal.jpg
473,"RT @kookceptional: [trans]
Q: What fashion items do you own the most?
JM: Blue denim jackets, hoodies and hooded clothes, and long T-shirts…",FALSE,0,NA,2018-04-08 5:15:42,FALSE,NA,982849443098648576,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",realofi_twt,3665,TRUE,FALSE,NA,NA,Indonesia,id,http://pbs.twimg.com/profile_images/980107298814111744/2THYI_tG_normal.jpg
